spolecnost	sidlo	rok_zalozeni	stari	stáří	NACE-CZ	prav_forma	zahr_kapital	pocet_zam	obrat2008	zamereni	zamereni_text	1a	1b	1c	1d	1e	1f	1g	1h	2a_vyuz	2a_plan	2a_spok	2b_vyuz	2b_plan	2b_spok	2c_vyuz	2c_plan	2c_spok	2d_vyuz	2d_plan	2d_spok	2e_vyuz	2e_plan	2e_spok	2f_vyuz	2f_plan	2f_spok	2g_vyuz	2g_plan	2g_spok	2g_text	2h_vyuz	2h_plan	2h_spok	2i_vyuz	2i_plan	2i_spok	2j_vyuz	2j_plan	2j_spok	2k_vyuz	2k_plan	2k_spok	2l_vyuz	2l_plan	2l_spok	2l_text	3	3_text	4a	4b	4c	4d	4e	4f	4g	5a	5b	5c	5d	5e	5f	5g	5h	5i	5j	5k	5l	5m	5n	5o	5p	5r	5r_text	6a_1	6a_2	6a_3	6a_4	6a_5	6a_6	6b_1	6b_2	6b_3	6b_4	6c	6d	6e	6f	6g	6h	6h_text	7	8a	8b	8c	8d	8e	8f	8g	8h	8i	8i_text	8j	9	10	11a	11b	11c	11d	11e	11f	12a	12b	12c	12d	12e	12f	12f_text	13a	13b	13c	13d	13e	13f	13f_text	14	15	15_text
Alupressing - slévárna	Blansko	2009	3	3	Tlakové lití hliníku	s.r.o.	2	2	1	1		5	5	4	4	5	4	4	5	1		3	1		3		1		1		3		1		1		3	1		1	kontrola kvality vyrobených výrobků	1		1	1		4	1		3		2						3		5	5	4	3	3	4	3	4	5	4	4	5	5	5	4	4	4	4	4	3	4	3	3			1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0		2	0	0	0	1	1	0	0	0	0		0	1	1	0	1	1	1	1	1	1	0	0	0	0	0		4	3	3	5	2			1	1	Větší spolupráce se zákazníkem, náklady, které byly dříve významné jsou niní řešeny.
Amedis	Praha	2001	2	2	Dodávka laboratorní a zdravotnické techniky	s.r.o.	2	2	1	2		2	4	5	3	5	5	4	5	3		2		2			2		3		2		2			2			2				2		3		2		2		3		2					1		5	5	4	5	4	5	5	4	4	4	3	5	5	5	4	4	4	2	3	3	2	4	4			1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0		1	0	1	0	1	1	0	0	0	0		0	1	3	1	0	1	1	1	1	1	0	1	0	0	0		1	1	4	4	4			1	2	
Ammann Czech Republic	Nové Město nas Metují	1990	1	1	Výroba stavebních strojů	a.s.	1	4	4	1		5	5	3	4	4	3	4		3		4	3		5				3		5	3		5	3		5								2		4				2		4					1		5	5	4	3	3	4	4	4	5	5	4	4	4	4	3	3	5	4	4	3	3	3	5			1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0		1	1	1	0	0	1	0	0	0	0		0	1	2	0	1	0	1	0	1	1	0	1	0	0	0		4	2	5	5				2	1	
AMWAY ČR, s.r.o.	Praha 7	1993	2	2	prodej zboží a služeb formou přímého prodeje	s.r.o.	1	2	4	3		5	3	1	3	4	5	2	1	3		4	3		4		2		1		4	1		4		1			2			1		4		2			2		3		4					1		5	3	4	4	3	1	1	5	4	4	5	5	5	5	3	2	4	1	4	5	5	2	3			0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0		2	0	0	0	0	0	0	0	0	0		1	1	3	0	1	1	1	1	1	0	0	0	0	0	1	Internaly developed instruments	1	3	1	5	1			1	2	
ArcelorMittal	Ostrava, Kunčice	1992	2	2	Výrobní činnost společnosti je zaměřena především na výrobu a zpracování surového železa a oceli a hutní druhovýrobu.	a.s.	1	4	4	1		5	5	3	4	5	5	3	3	3		5		2			2		3		5		2			1		3		5		3		5		2			2			1						1		5	5	4	4	4	5	4	5	5	4	5	5	3	5	3	4	5	5	5	3	3	3	3			1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0		1	1	0	0	1	1	1	0	0	0		0	1	1	1	1	0	0	1	1	1	0	0	0	0	0		5	3	4	5	3			2	2	
As-Af-Ab	Buchlovice	2002	3	2	Výroba a prodej	s.r.o.	1	1	2	1		4	4	5	4	5	4	3	3	3		3		2			1			1			2		3		4	1		3	FMEA		2			2		1		4		2			2			3		5	5	4	4	3	4	3	5	3	4	4	5	5	5	4	5	3	5	4	3	5	2	1			0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		3	1	0	0	1	1	0	0	0	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	1	Pohoda	5	5	3	5	3			2	1	
Asociace gumárenské technologie Zlín	Zlín	1995	2	2	Výroba pryžových výrobků	s.r.o.	2	1	1	1		5	4	2	4	2	4	3	4	3		4	3		3					1								2		5	ISO 9001																	1		5	5	4	4		4	5	4	4	4	4	5	5	5	3	3	4	4	4	3	4	5	3			0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0		1	0	0	0	1	1	0	0	0	0		0	3	3	1	1	1	0	1	1	1	0	0	0	0	0		3	1	3	4	2					
Atis	Bruntál	1990	1	1	cestovní kancelář	a.s.	2	2	3	2		5	5	4	4	5	4	4	5	3		5	3		5	3		4	3		4		1		3		4	3		4			1			1			1		3		4					1		5	5	4	4	5	4	5	5	5	5	5	5	5	4	4	4	5	4	5	4	5	4	4			0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0		1	1	0	0	0	0	1	0	1	0		0	2	2	1	1	0	0	1	1	1	0	1	0	1	0		5	5		5	4	5		1	2	
Atotech CZ, a.s.	Jablonec nad Nisou	1999	2	2	chemická výroba a obchod	a.s.	1	3	3	3		5	4	4	4	4	5	4	2	2		3	3		5		1		2	1			1									2		4		2			2		2		5					1		4	5	5	5	5	3	5	5	5	4	4	5	5	5	4	5	5	4	5	4	5	5	5			1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0		2	0	1	0	1	0	1	0	0	0		0	1	3	0	1	1	1	1	1	1	0	0	0	0	0		2	2	2	5	4			1	1	pro rok 2009 ano, byly přehodnoceny cíle
Austin Powder Service CZ		2001	2	2	Podpůrné činnosti při těžbě	s.r.o.	1	2	2	2		5	3	3	3	4	5	5	1	3		3	2		5		2		2		5	2		5	2		3	2		3	ISŘ		1			2			1		2		5					1		5	5	3	4	4	5	3	3	5	3	3	4	5	5	5	5	5	3	4	5	5	3	3			0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0		1	0	1	0	1	1	1	0	0	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		5	1	1	5	3			2	1	Periodicita vyhodnocování některých procesů se zkrátila ze čtvrtletního intervalu na měsíční
Autodoprava Jaroslav Pazdera	Velká Bystřice	2007	3	3	Stavebnictví	s.r.o.	2	2	1	2		3	4	5	3	5	5	4	5	2		4		2			2			2			2			1			2				2			2			2			2						1		5	5	4	3		5	4																			1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0		1	1	0	0	0	0	0	1	1	0		0	2	3	0	1	0	1	1	1	1	0	0	0	0	0		3	2	3	5	2			2	1	
AWD ČR	Brno	2005	3	3	privátní poradenství v oblasti financí	s.r.o.	1	3	4	2		3	5	5	4	3	4	1	1	2		4	2		4	2		4	2		3				2			2		5		2		4		1												1		3	5	5	5	4	2	5	4	4	4	4	5	5	5	5	3	5		4	3	5	3	3			1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0		2	1	0	0	1	0	0	1	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	1	0		1	4	2	5	2			1	2	
Band servis	Zlín	1992	2	2		s.r.o.	2	2	1	2		5	5	4	4	5	4	1	4	3		3	3		3	3		2	3		3	3		4		1		3		4	výstupní kontrola, vstupní kontrola materiálu, ankety, dotazníky….	3		4		2			2			2						1		5	5	3	4	4	4	3	5	5	3	4	5	5	4	4	4	3	3	4	3	5	1	3			0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0		2	1	0	0	1	1	0	0	1	0		0	1	3	0	0	0	0	1	1	1	1	0	0	0	0		1	1	1	1	1	5	finanční krize	2	1	důslednější kontrola ve větší míře
BARENTZ spol.s r.o.	Klatovy	1992	2	2		s.r.o.	1	2	4	3		1	5	5	5	4	5	4	1	3		3	3		4		2		3		4		2		2		3	3		4	ISO 9001:2008, ISO 22000	3		2		2			2		3		3					1		4	4	4	4	3	4	4	3	5	4	4	5	4	5	5	4	4	4	5	5	5	5	4			0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0		2	0	0	0	0	0	0	0	0	0		1	1	1	1	1	1	1	1	1	0	1	0	1	0	0					5				1	2	
Barum Continental	Otrokovice	1993	2	2	zpracování gumárenských směsí	s.r.o.	1	4	4	3		5	5	4	3	4	4	4	5	3		4	3		4	3		4	3		5	3		4	2		5	3		5	Monitoring ztrát nejakostní výroby,  Statistické řízení procesů (Indexy způsobilosti), Continual improvement	3		3	3		3	2		4	2		4					1		5	5	5	5	4	5	4	4	4	4	5	4	5	4	5	5	5	5	5	5	5	4	4			1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0		2	1	1	0	1	1	1	0	0	0		0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	SAP	5	2	3	4	3	5	Kurzový efekt	1	2	
BC Morava,s.r.o.	Rapotín	1999	2	2		S.r.o.	2	2	2	1		3	5	5	3	5	5	4	4	1		4	1		4		1			1			1		1		4	1		4	ISO		2			2			2			2			2			1		5	5	4		4	5	4	3	5	4	4	5	5	5	4	4	4	5	5	5	4	4	4			0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0		1	0	0	0	0	1	0	0	0	0		0	1	2	1	1	1	1	1	1	1	0	0	0	0	0		3	2	3	5	4			1	2	
BD SENSORS	Buchlovice	1993	2	2	Výroba měřicích, zkušebních a navigačních přístrojů	s.r.o.	1	3	3	1		5	5	4	4	5	4	4	3	2		4	2		2		2		2		3		1			1		3		4	FMEA		1			2			2			1		2		3	IS SAP	1		4	5	5	5	4	5	5	4	5	4	4	4	4	5	5	4	4	5	5	5	4	5	5			0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	ukazatelé zadluženosti, likvidity, aktivity	1	1	0	0	0	0	0	0	0	0		0	1	2	0	1	1	1	1	1	1	1	0	1	1	1	CAD, Inventor	3	3	3	5	2			1	1	nižování nákladů, důraz na kvalitu výrobků
Behr Czech s.r.o.	Mnichovo Hradiště	2000	2	2	282500	s.r.o.	1	4	4	1		3	5	3	4	4	4	3	4	3		3	3		3		2		3		3		2			2			2				2			2			2			2			2			1		5	2	4	3	3	3	3	5	5	5	5	3	3	3	3	3	2	3	3	3	3	3	3			1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0		2	1	0	0	1	1	0	1	0	0		0	1	3	0	1	1	1	1	1	1	0	0	1	0	0		1	2	2	5	2			1	1	větší důraz na fin. stránku řízení firmy
Bíza Elektro	Čejč	1993	2	2	Elektroinstalace	s.r.o.	2	2	1	2		4	4	5	3	5	4	4	3	3		3	3		4		2			1			2			2		3		4	certifikace	2		3		2			2			1						3		4	5	4	4	3	5	3	4	4	4	4	5	5	5	4	3	3	4	3	3	5	4	4			1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	1	0	0	0	0	0		0	1	3	0	0	0	0	1	1	1	0	0	0	0	0		3	3	3	4	3			2	2	
Boehringer Ingelheim	Praha	1994	2	2	nakup prodej, marketingove sluzby	S.r.o.	1	3	4	3		5	5	5	5		5			2		3	2		5		2		2		4				2		3	2		4	Model business Excellence	2		4		2			2		1		5					1		5	5	4	5	3	3	5	3	4	4	4	4	3	5	4	3	5	3	5	3	4	5	5			0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0		2	0	1	0	0	0	0	1	1	0		0	1	3	1	1	1	0	0	0	1	1	0	1	0	0		2	4	2		5			1	1	detailnejsi a castejsi revize
Bohemian Servis	Holešov	1997	2	2	Doprava	s.r.o.	2	2	1	2		4	4	5	4	5	4	4	5		1			1			2			1			2			2			2				2			2			2			2			2			3		5	5	4	5		4	3	5	5	5	5	5	5	4	4	5	4	3	5	4	4	3	4	3		0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	1	1	0	1	1	0		0	1	2	0	0	0	0	1	1	0	0	0	0	0	1	částečné účetní programy	1	1	5	5	5			2	2	
Bramac střešní systémy s.r.o.	Praha	1991	2	2	Výroba střešní krytiny	s.r.o.	1	4	4	1		5	5	3	4	3	5	4	3	3		5	3		5		2		3		5		2		3		4	3		4	interní  ISO audity , 	3		5		2			2		3	2	4					1		4	5	4	4	4	5	5	4	5	4	4	5	4	5	4	4	5	5	5	4	4	5	4			1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0		2	1	0	0	1	1	1	0	0	0		0	1	3	0	1	1	1	0	1	1	0	0	1	0	0		4	2	3	3	4			2	2	
Britrade	Zlín	1992	2	2		s.r.o.	2	2	1	3		5	2	3	4	4	4		4	2		4	2		4		2			2			2			1			2				2			2			1			1								5	5	4	5	3	1	2	3	4	3	4	5	5	5	4	3	3		5	4	5		4			0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0		1	1	0	0	1	1	0	0	0	0		0	3	3	0		0	0	1	0	1	0	0	0	0	0		3	3	4	5	2				2	
BUJNOCH	Chrudim	1993	2	2	Hotelové služby	s.r.o.	2	2	1	2		4	5	3	4	4	5	4	5	3		4	3		4		2		2		5		2			2							2			2			2			2						2		5	5	5	5	3	4	3	4	5	4	4	5	5	4	3	1	2	3	3	2	5	1	1			0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0		1	1	0	0	1	1	0	0	1	0		0	1	3	0	0	0	1	1	1	1	0	0	0	0	0		5	4	1	5	3			2	2	
Bukos Temp	Zlín	2005	3	3	zámečnictví, velkoobchod	s.r.o.	2	1	1	1		5	5	4	3	3	4	4	4	2		4		1		2		5	2		4		1		2		3		2				1			1		2		5		1						1		5	5	3	5	5	3	5	5	5	5	5	5	5	4	3	4	5	5	4	3	3	4	4			1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0		1	0	1	0	0	0	1	0	1	0		0	1	2	0	0	0	0	0	1	1	0	0	0	0	0		1	1	3	1		4	kursové rozdíly		2	
BYTservis - služby	Karviná	1992	2	2	správa bytů	s.r.o.	2	3	2	2		5	4	3	3	4	4	2	2	2		4	2		4		2		2		4		2		2		3		2				2			2			2			1						1		4	5	3	3	2	2	2	4	3	3	4	4	4	4	2	2	2	1	3	3	3	1	1			1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0		1	1	1	0	0	0	0	0	0	0		0	1	2	1	0	1	0	0	0	0	1	0	0	0	0		3	1	3	4	5			2	2	
C.B.G. IMPEX	Valašské Meziříčí	1999	2	2	Výroba jednoúčelových strojů	s.r.o.	2	2	1	1		5	3	5	3	5	4	3	3	3		4	3		5		2		3		4					1		3		4	důsledná kontrola																	1		5	5	3	4		4	5	5	5	5	5	5	5	5	4	3	5	5	5	4	5	5	4			0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0		1	1	0	0	0	1	0	0	0	0		0	2	2	0	0	1	0	1	1	1	0	0	0	0	0		2	3	2	5	5			2	1	
CB	Liberec	1999	2	2	Výroba pilařská a impregnace dřeva	s.r.o.	2	2	1	1		4	5	2	3	3	2	3	4	2		3	2		3	2		3	2		3		2		2		3	2		4			1			2		2		3	2		4					1		5	4	3	3	3	3	4	5	5	4	4	5	5	5	4	5	5	4	5	4	4	4	2			0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0		1	1	0	0	1	1	0	0	1	0		0	2	3	1	1	0	1	1	1	1	0	0	0	0	0		2	4	1	3	5			2	2	
CEBES	Brumov - Bylnice	1999	2	2	Strojírenská výroba elektrotechnických výrobků a dílů na větrné elektrárny	a.s.	2	3	3	1		3	3	3	4	4	4	2	3	3		4	2		3		1		2		4																											2		5	5	3	4	3	3	4	5	5	5	5	5	5	5	4	3	3	3	4	3	3	3	3			0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0		1	1	0	0	1	0	0	0	1	0		0	1	3	0		0	1			1	0	0	0	1	0		3	2	1	5	1			2	2	
Cedes Logistik	Modletice	2000	2	2	doprava, spedice ,skladování	s.r.o.	2	3	3	2		5	5	5	5	5	5	4	4	3		4		1		3		4	3			2		4	3		5		1																			1		5	5	5	5		5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5		4			1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0		2	1	0	0	1	1	1	0	0	0		0	1	1	1	1	1	1	1	1	0	0	1	0	0	0		4	4	1	4	4			1	2	
CERTICON a.s.	Praha	1996	2	2	vývoj software	a.s.	2	3	3	2		5	3	3	3	3	3	3	1	1		5	1		5	1		4	1		5		2			2		3		4	ISO 		2			2			2		1		1		2			2		5	3	1	3	3	1	1	5	5	5	5	5	5	4	5	2	2	2	2	2	4	3	3			0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0		1	1	1	0	1	1	0	1	0	0		0	3	3	0	0	0	0	1	0	1	0	0	0	0	0		1	1	1	5	1			2	1	větší zájem o výstupy manažerského účetnictví
CIE Unitools press	Valašské Meziříčí	2000	2	2		a.s.	1	3	4	1		5	5	3	5	3	4	1	1	3		5	3		5	3		5	3		5	3		5	3			3			ppm, 8D, 5S	2						3			3							1		5	5	4	5	3	5	4	5	4	5	5	5	5	5	5	4	5	5	4	4	5	5	4			1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0		2	1	1	0	1	1	0	0	1	0		0	1	3	1	1	1	1	1	1	1	0	1	0	0	1	SAP, CAPTOR	2	1	2	3	1				2	
Cleantex	Prostějov	1996	2	2		a.s.	1	2	1	1		3	5	2	5	2	2	4	2	2		4																																				2		4	3	4	3	4	3	5	4	4	3	3	4	4	4	4	3	4	4	4	3	3	4	4			1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0		1	0	0	0	0	0	0	0	0	0		1	1	2	1	1	1	0	1	1	1	1	0	0	0	1	auditorská firma	2	4	1	4	2	5	vývoj v odvětvích našich odběratelů, působení hospodářské krize		1	sledování nákladů, rozvoj nových zdrojů, sledování ziskovosti, zlepšení kalkulačního systému
ContiTrade Services	Otrokovice	1991	2	2	Velkoobchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů	s.r.o.	2	4	4	3		3	4	4	5	4	3	4	1	3		5	3		5		2		3		4	2		2		1		3		4			1			2			2		2		4					1		5	2	4	3	5	1	2	5	5	5	5	5	5	5	4	4	4		5	4	5	3	4			0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0		1	1	0	0	1	1	1	0	0	0		0	1	3	0	1	1		1	1	1	1	0	1	0	1	FIRE	4	4	3	2	1	5	sezóna, počasí	1	1	zaměření na náklady a zvýšení marže
CTS-servis, a.s.	Poděbrady	1992	2	2	strojírenství	a.s.	1	3	4	1		5	3	5	3	3	4	5	1	3		4	1		5				1		5		1			1		1		5		2		4	1		5	1		5	1		5					1		5	5	5	5	5	5	5	1	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5			0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0		2	0	0	0	1	1	0	0	0	0		0	1	3	0	1	1	1	1	1	1	1	0	0	0	0		1	1	1	5	5			1	2	
Czech Sport Aircraft	Kunovice	2009	3	3	Výroba letadel	a.s.	1	3		1		5	5	1	3	5	3	5	5	1		2		1		1		5	1		4		2		1		5		1		dle EASA Part 21/F		2		1		5	1		5	1		5					1		5	5	5	3	1	5	5	5	5	3	5	5	5	5	5	5	5	5	5	1	5	5	5			0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0		2	1	0	0	1	1	0	1	0	0		0	2	3	0	0		0	1	0	0	1	0	0	0	0		1	1	1	5	1			2	2	
České aerolinie, a.s.	letiště Ruzyně, Praha 6	1923	1	1	letecká přeprava	a.s.	2	4	4	2		5	5	5	4	3	5	4	4	3		5	2		4		1		3		5		2			2		3		5	specifické standardy pro leteckou společnost	3		3		2			2		3		4					3		5	5	3	5	4	3	4	3	5	5	5	5	4	5	4	3	5	5	5	3	5	3	5			0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0		1	0	1	0	1	1	1	0	0	0		0	1	1	0	1	1	0	1	0	1	1	0	1	1	0		1	5	5	1	3		vývoj kurzů, cena paliva	2	1	přehodnocení některých ukazatelů, rozhodnutí o restrukturalizaci
Českomoravská stavební spořitelna, a.s.	Praha 10	1993	2	2	64.19	a.s.	1	4	4	2		5	5	1	5	2	4	5	1	3		4	3		5		2		3		5		1			2			2				1			2			2			2			2			1		5	5	2	2	3	2	2	5	5	5	5	5	5	5	3	1	5	4	4	3	2	4	2			0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1	1	1	0	1	1	1	0	0	0		0	1	1	0	0	0	0	0	1	1	1	0	0	0	0		1	4	1	1	5			1	1	dúraz na řízení nákladů, zavedení systému hodnocení investic a dodržování stanovených pravidel
DAFE - PLAST Jihlava	Polná	1992	2	2	Výroba okenních systémů z plastů na bázi polymerů	s.r.o.	2	3	3	1		4	4	4	3	3	2	2	3	2		4		1			1			1			2			2			1				2			1			1			1						3		4	5	3	3	2	2	4	4	3	3	3	4	4	5	3	2	3	3	3	3	4	2	2			0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0		2	1	1	0	0	0	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	1	0	0	0		3	2	3	4	1			2	2	
DAKOR	Kroměříž	1991	2	2	Ostatní specializované stavební činnosti j. n.	s.r.o.	2	1	1	2		4	4	5	3	3	3	2	3	3		3		2			2			2			2			2			2			2				2			2			2			2			3		5	5	2	2	2	2	4	5	4	5	5	4	4	4	2	2	2	3	2	2	3	3	1			0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0		3	1	0	0	0	0	0	0	1	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	1	Retail HQ - speciální program vyvinutý pro potřeby podniku, zejména v oblasti řízení zásob	2	1	3	2	1			1	2	
